supplier_name_original,abn,acn,match_method
Bigsplash Playgrounds Pty Ltd,,,
Smoke Creative Pty Ltd,,,
ADAPS Pty Ltd,,,
• Proof Research (The Trustee For The Proof Research Trust),,,
Playland Constructions Pty Ltd,,,
Stenning & Associates Pty Ltd,,,
Medirecruit Australia Pty Ltd,,,
3DMind Solutions,,,
BP & K DAY,,,
Newart Group Pty Ltd ATF O’Brien Family Trust t,,,
Ontalent Pty Ltd,,,
RAVEL (The Ravelers Pty Ltd),,,
GAYNDAH FURNISHERS (QLD.) PTY. LTD,,,
a Digital Craftsmen Solutions),,,
"PAECH, STEVEN DEAN",,,
A Bluerydge - ABN 12780465562,12780465562.0,,extracted_from_name
Artificial Limbs & Appliances,,,
Blue Crystal Solutions Pty Ltd,,,
JJCT Packaging Pty Ltd (Positive Salary Packaging),,,
16. QLD Computers Ltd                           Category 1 & 2,,,
• Cardinal Health Australia 503 Pty Ltd.,,,
Schreder Australia Pty Ltd,,,
H1 Healthcare Pty Ltd,,,
a Decission Point Consulting Pty Ltd),,,
Nexon Asia Pacific Pty Ltd,,,
CLEAN-AIR (AUST) PTY. LTD.,,,
NRI Australia Limited (previously ASG Group),,,
Biotronik Aust P,,,
a Gruntify),,,
Arrilla Consulting Pty Ltd,,,
Provincial  Distributors,,,
Value Learning Pty Ltd,,,
Australia Wide Locum Placement Pty Ltd,,,
Lakeridge Consulting Pty Ltd,,,
Message Media - http:,,,
Sullivan Advisory Pty Ltd,,,
Winc Australia,,,
First Floor,,,
AUCloud (formerly Sovereign Cloud (Australia) Pty Ltd),,,
• Johnson & Johnson Medical Pty Ltd,,,
Werfen Australia Pty Ltd,,,
Dura Products Industries Pty Ltd,,,
Securemation Consulting - ABN 51923068429,51923068429.0,,extracted_from_name
a Select Patient Care,,,
Stewart and Heaton,,,
Controlware Australia Pty Ltd,,,
"Goodings, Daryl Steven The Trustee for THE GOODINGS TRUST",,,
MVO Airconditioning Pty Ltd,,,
Critical Initiatives and Major Initiatives,,,
Hertz Australia Pty Ltd,,,
MAD KEEN CONSTRUCTIONS PTY LTD,,,
a Transform Partners),,,
Deloitte Touche Tohmatsu - ABN 74490121060,74490121060.0,,extracted_from_name
• Australian Survey Research (ASR) (Australian Survey Research Group),,,
S5 Technology Group Pty Ltd,,,
Sprint Digital Pty Ltd,,,
L (formerly Bravuro & Agile Logic),,,
Hamilton Hayes Henderson Architects Pty Ltd,,,
Blackwood Projects,,,
Haines Medical Australia Pty Ltd,,,
D-Link Australia Pty Ltd - ABN 49052202838,49052202838.0,,extracted_from_name
LOGANHOLME  QLD  4129,,,
B. Braun Aust P,,,
Big Ass Fans Australia Pty Ltd,,,
Sharp & Carter Brisbane Technology Projects and Digital Pty Ltd,,,
RNL Constructions Pty Ltd,,,
Mobile: 0409 753 184,,,
TBA Urban Pty Ltd,,,
Aizer Building Solutions Pty Ltd,,,
Interpro Australia Pty Ltd,,,
Osmodal Group Pty Ltd,,,
Ferno Australia Pty Ltd,,,
K & T FISHER PTY LTD,,,
Mobile:  0427 168 763,,,
IDC Australia Pty Ltd - ABN 13001657003,13001657003.0,,extracted_from_name
First Choice Care Pty Ltd,,,
• Mediquip Pty Ltd,,,
Your People Group Pty Ltd,,,
Designed To Stick Pty Ltd,,,
TOIYER PTY. LTD.,,,
PKF Brisbane,,,
LMT Surgical P,,,
ILX Group Pty Ltd,,,
Precision Sourcing Australia Pty Ltd,,,
SureBridge IT Pty Ltd,,,
RioT Solutions Pty Ltd,,,
Resolutions (Int) Pty Ltd,,,
CUSP (QLD) Pty Ltd,,,
Amod Pty Ltd (t,,,
Woods Wind and Brass,,,
Optus Network Pty Ltd – ABN 92008570330,92008570330.0,,extracted_from_name
• Faster Horses,,,
Mobile: 0407 202 835,,,
Telephone: 0400 591 422,,,
Facsimile: 07 3274 2994,,,
J.Y.W. Consulting Trust trading as J.Y.W. Consulting,,,
Email:  sales@harleyseducational.com.au,,,
Terumo Aust P,,,
Farren McRae Workplace Lawyers and Consultants Pty Ltd,,,
"2 Inspire International,",,,
TROOCOO Pty Ltd,,,
Inviga,,,
Darling Downs Court Constructions,,,
Telephone: 07 3217 4655,,,
S3 Consult,,,
DoH-GDB,,,
iMedX Australia Pty Ltd,,,
CyberCloud Consulting Pty Ltd,,,
JET Charge Pty Ltd,,,
CONTACT: Jason George,,,
a Brandons Electrical Services,,,
Facsimile: 07 3275 2205,,,
www.infoways.com.au,,,
Access Testing Pty Ltd T,,,
FinXL Professioanl Services Pty Ltd (t,,,
Mobile: 0416 918 252,,,
Programmed Electrical Technologies,,,
All Purpose Transport,,,
Allen & Clarke Policy and Regulatory Specialists Ltd,,,
Ciena Communications Inc - ABN 11934388437,11934388437.0,,extracted_from_name
Soter International Ltd,,,
Edgecorp Constructions Pty Ltd,,,
Big Splash Playgrounds Pty Ltd,,,
Email: qldpsa@asi.com.au,,,
Faystar Pty Ltd t,,,
EFS ELECTRICAL & DATA PTY LTD,,,
Reflective Signs & Decals Pty Ltd,,,
Jobfit Health Group ABN: 40 083 014 640,40083014640.0,,extracted_from_name
Brett Dean (t,,,
Montagu Group Pty Ltd,,,
REDD (formerly 6YS),,,
a Black & More,,,
Canary Technology Solutions Pty Ltd,,,
ZircoDATA Pty Ltd,,,
PricewaterhouseCoopers,,,
Securemation Consulting,,,
a CEOffice Concepts,,,
Incotrade Australia Pty Ltd (t,,,
Syniti,,,
Boston Scientific Pty Ltd,,,
ABN: 93 122 414 699,93122414699.0,,extracted_from_name
LifeHealthcare Pty Ltd,,,
Winc Australia Pty Limited,,,
Abbott Rapid Diagnostics Pty Ltd,,,
Ace Materials Handling Pty Ltd,,,
Silklime Pty Ltd t,,,
Suburban Pest Management,,,
EY Digital Pty Ltd (formerly Adelphi Digital and Reading Room Aust.),,,
• Kimberly-Clark Australia,,,
ABN: 23 122 651 683,23122651683.0,,extracted_from_name
Altus Group Consulting Pty Ltd,,,
Orthocare Pty Limited,,,
Source Separation System Pty Ltd,,,
DXC Consulting Pty Ltd (t,,,
Empire Office Furniture (Hawa Dane Pty Ltd ATF Hawa Dane Unit Trust),,,
Active Medical Supplies Pty Ltd,,,
5accel Pty Ltd,,,
Customer 360 Global Pty Ltd,,,
Accenture Australia,,,
Everick Heritage Consultants Pty Ltd,,,
AEGIS SAFETY PTY LTD,,,
Herbert Smith Freehills,,,
Ethan Group Pty Ltd - ABN 93099503456,93099503456.0,,extracted_from_name
PSA Consulting,,,
CKR Health and IT Services,,,
Objective Corporation Ltd,,,
Temact Pty Ltd trading as Arbuthnot & Associates,,,
Accurate Air-conditioning and Electrical Pty Ltd,,,
3D Matrix Medical Technology Pty Ltd,,,
ABN:  63 010 059 837,63010059837.0,,extracted_from_name
GKE Australia Pty Ltd,,,
9. Data#3 Limited                                   Category 1 & 2,,,
Contact: Rosemary Watt,,,
The M & J Muller Trust T,,,
a Jordin Sports Surfaces,,,
Excel Consulting Solutions Pty Ltd (t,,,
• Ozdent Pty Ltd,,,
Caring For You Nursing Agency,,,
Air Liquide Healthcare Pty Ltd,,,
REEF CITY CONSTRUCTIONS PTY LTD,,,
Mogana Sundaram Narayanasamy,,,
Acacia No1 Trust T,,,
Camfil Australia Pty Ltd,,,
TPL Connect,,,
Civil Innovation (Aust) Pty ltd,,,
Ego Pharmaceuticals Pty Ltd,,,
Excel Technology Co Pty Ltd,,,
Maddgik Family Trust t,,,
Ozy Scope eManagement Pty Ltd (t,,,
PO Box 888,,,
A Azentro – ABN 69064656711,69064656711.0,,extracted_from_name
Vantive Pty Ltd,,,
• Cello Paper Pty Ltd,,,
www.mycar.com.au,,,
Lot 95,,,
www.bridgestone.com.au,,,
PO Box 4,,,
Data Analytics Management Consulting,,,
GovP2P,,,
Hummingbird Solutions Pty Ltd,,,
Archipelago Architects Pty Ltd,,,
Email: elizabeth.mckellar@theschoollocker.com.au,,,
Landloch Pty Ltd,,,
Brookehill AI Pty Ltd,,,
Division 5 Pty Ltd,,,
HDR Pty Ltd,,,
Ambu Australia Pty Ltd,,,
Evolve Health Digital,,,
Idea 11 Pty Ltd,,,
* Nelronics Pty LTD (formerly Fleetminder),,,
Deloitte PDS Pty Ltd,,,
SRI Infoservices Pty Ltd,,,
Mobile:  0499 042 242,,,
Cadent,,,
Taylor and Cullity Pty Ltd (TCL),,,
This Is A Conversation Starter Pty Ltd (Trade Mutt),,,
Your Nursing Agency (Qld) Pty Ltd,,,
Mercer Consulting (Australia) Pty Ltd,,,
Culpan Medical P,,,
Cardinal Health Australia 503 Pty Ltd,,,
Stryker Pty Ltd,,,
Charles Kendall Australia,,,
Retained Pty Ltd,,,
Salt Medical Recruitment Pty Ltd,,,
7 Tiles Pty Ltd,,,
The Recovre Group,,,
Peak Procurement,,,
Perios Pty Ltd,,,
Qudos Management Pty Ltd - ABN 97083974154,97083974154.0,,extracted_from_name
Communicorp Group (previously Assure Programs),,,
Croft & Company Pty Ltd,,,
• Rowland,,,
• Khemistry (formerly GrowthOps),,,
Leisa Prowse Consulting,,,
Steele Wrobel,,,
APV Valuers & Asset Management,,,
Ravinn,,,
Tesserent Cyber Services Pty Ltd (formerly Pure Security),,,
LOD Australia,,,
WEIPA HIRE PTY. LTD,,,
Wilsarose Trading Pty Ltd t,,,
KCI Medical Australia Pty Ltd,,,
Mobile:  0403 375 111,,,
Olive Grove IT Pty Ltd,,,
• Paragon Care Group Australia Pty Ltd,,,
AUSTEK PTY LTD,,,
Bendelta Pty Ltd; CGH Services Pty Ltd; Chandler Macleod Group Limited; Fahl ER Pty Ltd; Hoban Recruitment Pty Ltd; Hudson Global Resources (Aust) Pty Ltd; Kingston Human Capital; Mapien Pty Ltd; Marketing and Management Strategies; Maurice J. Kerrigan & Associates Pty Ltd; Merit Solutions; Picks Group Pty Ltd; Q Workplace Solutions Pty Ltd; Strive Occupational Rehabilitation Pty Ltd; Verifact Pty Ltd; Workplace Investigation Services Pty Ltd,,,
SALTAIR MODULAR PTY LTD,,,
FVS FIRE PTY LTD,,,
"Merit Solutions,",,,
T.S.L. INDUSTRIES PTY. LTD,,,
GTLA Gavin Taylor Landscape Architect,,,
UIC,,,
Delnorth Pty Ltd,,,
Phase Studio Pty Ltd (PixelFrame),,,
A.R ZAMMIT & M.R ZAMMIT,,,
Sentry Medical Pty Limited,,,
"Grey Matta Solutions,",,,
a Institute of Management),,,
GAMA Healthcare Australia Pty Ltd,,,
GEEBUNG  QLD  4034,,,
Appoint Pty Ltd,,,
"About your Transition Pty Ltd,",,,
bioMerieux Australia Pty Ltd,,,
Meditech Systems Asia Pacific Pty Ltd,,,
L t,,,
JEAL PROPERTY HOLDINGS PTY LTD,,,
"MACKERETH, BRETT KEVIN",,,
AKIPS Pty Ltd - ABN 31169056204,31169056204.0,,extracted_from_name
31 Victoria Avenue,,,
Followmont Transport Pty Ltd,,,
WSP Australia Pty Limited,,,
North Qld Construction Consulting Pty Ltd (NQCC),,,
Adept Recruitment Pty Ltd,,,
Telephone:  07 4035 4035,,,
Email: brad.henderson@bfx.com.au,,,
Advent One Pty Ltd,,,
Uniform Management Services,,,
PlanIT Test Management Solutions Pty Ltd,,,
EPEC Education,,,
Mansell Taylor Consulting,,,
SUNSTATE ELECTRICAL ENS PTY LTD,,,
WTP Australia Pty Ltd,,,
Interact Learning Pty Ltd (t,,,
CS technology (Aust) Pty Ltd c,,,
WalkMe,,,
K and M Nissen Consulting Pty Ltd aft K and M Nissen Family Trust,,,
ACN: 105 352 501 Address 4,,105352501.0,extracted_from_name
IML National,,,
HCL Australia Services Pty Ltd,,,
Beca Pty Ltd,,,
• 3M Australia Pty Ltd,,,
"Eight Mile Plains, QLD 4113",,,
Modsel Pty Ltd T,,,
Architectus Australia Pty Ltd,,,
Cleared Security Pty Ltd,,,
Refer to Buyers Guide for further information.,,,
Synapse Consortium Pty Ltd,,,
McVeigh Consultants Pty Ltd,,,
Lee Hecht Harrison Pty Ltd,,,
"Reef Ecologic,",,,
Brennan IT Pty Ltd - ABN 29082699367,29082699367.0,,extracted_from_name
Smiths Medical Australasia,,,
Humanico Pty Ltd,,,
VideoPro,,,
K.E BARNETT & L.A BARNETT,,,
ASPL Australia Pty Ltd,,,
"15 Bellingham Street, Narellan NSW 2567",,,
Oncall Language Services Pty Ltd,,,
HELENSVALE TOWN CENTRE QLD 4212,,,
"Whitelaw Engineering Machinery, ABN: 19 166 185 137, 18 Morrison Close, Mansfield QLD 4122, Contact: Dimitri Zouppas, Phone: (07) 3219 4000, Email: dzouppas@whitelawmachinery.com.au, Machinery Category: Part A and Part B",19166185137.0,,extracted_from_name
A. G. COOMBS (QLD) PTY LTD,,,
St Vincent De Paul Society Queensland,,,
Haines Contracting (QLD) Pty Ltd,,,
KPMG Australia,,,
Telephone: 1300 866 522,,,
"Baidam Solutions, ABN 11 626 747 073",11626747073.0,,extracted_from_name
Kaltec Services Pty Ltd,,,
Microsoft Ireland Operations Ltd,,,
"SCOWCROFT, PAUL",,,
The Least Likely Group (Matthew Callow),,,
Equinox Medical Pty Ltd,,,
4,,,
MARLEE CONSTRUCTIONS PTY. LTD.,,,
• Ontex Australia Pty Ltd,,,
CyberCX Pty Ltd - ABN 90629363328,90629363328.0,,extracted_from_name
Ausco Modular Pty Ltd,,,
Bizfurn Express Australia Pty Ltd (BFX Furniture),,,
Blow Woodwind and Brass,,,
Airmaster Australia Pty Ltd,,,
CONTACT: Tanya Schloss,,,
MTP Services Pty Ltd,,,
Email: dean@brandons.com.au,,,
NRI (formerly ASG Group),,,
CCM Recruitment International,,,
• Mazda,,,
• O&M Halyard Australia,,,
Critical Certification Pty. Ltd.,,,
Property Buro Pty Ltd,,,
68-70 Gorden Street,,,
Frontline Human Resources,,,
Tekwissen Pty Ltd,,,
McAlisterSmiley Partners Pty Ltd,,,
The University of Melbourne,,,
Davidson Recruitment Pty Ltd,,,
LivaNova Aust P,,,
Binary Music,,,
ALLEN GILLESPIE ELECTRICAL PTY LTD,,,
Burtech Pty Ltd,,,
Gilshenan and Luton Legal Practice,,,
Group 5 - Vicarious Trauma and Related Services,,,
Brisbane QLD 4000,,,
Pragmatic Thinking Pty Ltd,,,
CONTACT: Tom Bartlem,,,
Email: akela@akelaconstructions.com.au,,,
Acmena,,,
Everything Information Pty Ltd,,,
VALUE ADDED ASSET MANAGEMENT PTY LTD,,,
ST Solutions Australia Pty Ltd,,,
a One Bright Cloud),,,
Charterhouse Medical Pty Ltd,,,
ABN: 50 121 419 341,50121419341.0,,extracted_from_name
Infosys Limited,,,
Lambert & Rehbein (SEQ) Pty Ltd,,,
Griffith University,,,
Cogility Pty Ltd,,,
BRENT STOCKER ELECTRICAL PTY LTD,,,
Truis,,,
Holocentric Pty Ltd,,,
ActivTec Solutions (TTF Jeal Property Trust),,,
"ES2 Pty Ltd, ABN 57 163 419 136",57163419136.0,,extracted_from_name
"David Forman,",,,
Med-Con Pty. Ltd.,,,
Lackon Pty Ltd,,,
a Active Medical Supplies Pty Ltd,,,
ABN: 73 142 461 694,73142461694.0,,extracted_from_name
Ridapest Termite & Pest Control,,,
Dialog Pty Ltd - ABN 16010089175,16010089175.0,,extracted_from_name
GRANATTA PASTORAL COMPANY PTY. LTD.,,,
Logical Technologies Pty Ltd,,,
IBC Digital,,,
STERILE AIR PTY LTD,,,
iNSPYR,,,
JOHN BARNES & CO. (QLD) PTY. LTD.,,,
JDS Australia Pty Ltd,,,
Adcall Promotions (Qld) Pty Ltd,,,
i-team ANZ,,,
Queensland Council of Social Service,,,
Mobile: 0428 124 569,,,
EMU Data Pty Ltd,,,
Adam Pekol Consulting Pty Ltd,,,
VALUE ADDED CONSTRUCTION PTY LTD,,,
Avoka Technologies Pty Ltd,,,
Cass Cooling Pty Ltd,,,
RIoT Solutions Pty Ltd,,,
Lime Recruitment Pty Ltd,,,
New SOA- Suppliers,,,
Western Shamrock Plumbing Pty Ltd,,,
• Footprints Market Research (Alba Research),,,
Digital Skills Management Pty Ltd,,,
Orthotech P,,,
8i Architects,,,
a Haymans Electrical,,,
Website: https:,,,
Struber Pty Ltd,,,
a Qplay,,,
Sherwood Neighbourhood Centre Inc,,,
Paradise PVC Welding Pty Ltd,,,
Berry Street Education Model,,,
Bellwether Consulting,,,
Arcomed Pty Ltd,,,
Jumar Solutions Australia Pty Ltd,,,
Shipley Consultants Pty Ltd,,,
"Horizons Leadership Coaching,",,,
AccessCQ),,,
GDS Tech Pty Ltd,,,
Accenture Australia Pty Ltd,,,
Energesse,,,
Truii Pty Ltd,,,
The Checkley Group Pty Ltd,,,
Kyriakos Tyrologos,,,
Turner & Townsend Thinc,,,
CHARLIE THE PLUMBER PTY LTD,,,
"Global Welding Supplies Pty Ltd, ABN: 25 102 805 434, 32 Leyland Street, Garbutt QLD 4814. Contact: Paul Maloney, Phone: (07) 3271 2577, Email: pmaloney@globalweld.com.au, Machinery Category: Part A",25102805434.0,,extracted_from_name
Cheiron Healthcare Pty Ltd,,,
A CDM - ABN 15053788720,15053788720.0,,extracted_from_name
Corestaff QLD Pty Ltd,,,
Total Traction Architecture Pty Ltd,,,
• Roy Morgan,,,
Ignition Films Pty Ltd,,,
Paragon Care Group Australia Pty Ltd (trading as REM Systems),,,
Turnkey Consulting (Australia) Pty Ltd,,,
HB Group (QLD) Pty Ltd,,,
Deloitte Risk Advisory Pty Ltd,,,
Dickinson Constructions Pty Ltd,,,
TMS Consulting,,,
Schefe Builders,,,
Peak Usability (t,,,
www.nhdickinson.com.au,,,
Integrate AV,,,
LOGIT Australia,,,
Bistech Pty Ltd,,,
Bunji Enterprises Pty Ltd,,,
T & GK BALLANTYNE PTY LTD,,,
SilverStripe Australia,,,
WEST ACACIA RIDGE  QLD  4110,,,
Intech Solutions Pty Ltd,,,
Prominence Pty Ltd,,,
"Brandons Electrical, ABN: 41 010 637 279,	25 Colebard Street West, Acacia Ridge Qld 4110, Contact: Dean Urquhart, Phone: (07) 3715 2517, Mob: 0412 729 905, Email: brandons@brandons.com.au, dean@brandons.com.au",41010637279.0,,extracted_from_name
7 Steps Consulting Pty Ltd,,,
AMO Australia Pty Ltd,,,
Ontoit Global Pty Ltd,,,
Aussie Hydro Vac Services Pty Ltd,,,
Aspirante QLD Pty Ltd,,,
ATULL PLUMBING & DRAINAGE PTY LTD,,,
Cleanaway Pty Ltd,,,
Ranbury Management Group,,,
a),,,
Opteon Property Group,,,
Contact: Nash Stone,,,
Queensland Industrial Cladding,,,
• iVvy Pty Ltd (iVvy Software),,,
Avanos Medical Australia Pty Ltd,,,
I-TeleRAD Pty Ltd (I-MED),,,
Engineering Networks Pty Ltd,,,
McGrathNicol,,,
PO Box 3075,,,
"Leaderwise Pty Ltd,",,,
Long Street Advisors Pty Ltd,,,
RJG BUILDERS PTY LTD,,,
Traymark Industrial Caravans Pty Ltd,,,
Joe Wagner Group Pty Ltd,,,
PM Eleven Pty Ltd,,,
NEC,,,
EBOS Healthcare Ecolab Pty Ltd,,,
Hoverley Pty Ltd,,,
Ace Waste Pty Ltd,,,
Integrate Pty Ltd as trustee for Integrate Trust,,,
ABW ELECTRICAL SOLUTIONS PTY LTD,,,
Robert Walters Pty Ltd,,,
Maintain Advisory and Investments,,,
JB Medical Supplies Pty Ltd (Clinical Innovations Australia),,,
• Fiftyfive5,,,
Grant Thornton Australia,,,
PO Box 1497,,,
As Hollister,,,
V2R Projects Pty Ltd,,,
• Subaru,,,
RAPP Australia Pty Ltd,,,
CA & ML Milne T,,,
Latter Rain Pty Ltd atf the Keogh Family Trust,,,
PO Box 1477,,,
Interpath Services Pty Ltd ABN: 79 007 196 581,79007196581.0,,extracted_from_name
D.L FOO & K FOO,,,
Savige Pest Control Pty Ltd,,,
WOOLLOONGABBA  QLD  4102,,,
Point8 Pty Ltd,,,
A Gaming Laboratories Australia - ABN 51082989446,51082989446.0,,extracted_from_name
GITC,,,
Contact: Phil Cowie,,,
BURLEIGH BC  QLD  4220,,,
Paragon Care Group Australia Pty Ltd,,,
NRG ELECTRICAL (QLD) PTY LTD,,,
In Vitro Technologies Pty Ltd,,,
GOJII Pty Ltd,,,
Emm Consulting Pty Ltd,,,
"TACTICIAN,",,,
www.messagemedia.com.au,,,
Currie & Brown,,,
Premier Sports and Leisure Pty Ltd,,,
Klyp Australia Pty Ltd,,,
Bridge IT Engineering Pty Ltd,,,
Nexon Asia Pacific Pty Ltd – ABN 70095335023,70095335023.0,,extracted_from_name
"Federation University,",,,
BDR Services Pty Ltd,,,
Email:admin@bartlemconstruction.com.au,,,
Laerdal Pty. Limited,,,
MATT BIRNEY BUILDERS PTY LTD,,,
"Elephant Capability,",,,
Searson Buck Group Pty Ltd,,,
Sensei Project Solutions Pty Ltd,,,
Cisco Systems Australia Pty Ltd - ABN 52050332940,52050332940.0,,extracted_from_name
International SOS,,,
TL Consulting Group NSW Pty Ltd,,,
Getinge Australia Pty Ltd,,,
George Street Neighbourhood Centre Association Inc,,,
Telephone: 07 3806 1025,,,
"RISK 2 SOLUTION,",,,
Statewide Novated Leasing Pty Ltd,,,
Scyne Advisory Pty Ltd,,,
St John Ambulance Australia Queensland Limited,,,
SEM Holdings Pty Ltd (Prentice Consulting),,,
Abbott Australasia Pty Ltd,,,
Email: info@straitsupport.com,,,
Oper8 Pty Ltd,,,
Venn IT Solutions Pty Ltd,,,
Global 4WD Training and Tours,,,
Code Heroes Pty Ltd,,,
McMurtrie Consulting Engineers,,,
STOWE AUSTRALIA PTY LIMITED,,,
AVMIN Pty Ltd,,,
Lambert & Rehbein (North Qld) Pty Ltd t,,,
Arrochar Consulting Pty Ltd,,,
Intelligent Business Research Service Pty Ltd (IBRS),,,
Program Planning Professionals Pty Ltd (t,,,
DNA Recruit Pty Ltd,,,
Powertec Telecommunications Pty Ltd,,,
Everything Outside Pty Ltd,,,
LAYERMERE PTY. LTD.,,,
Lawson Training & Consulting Pty Ltd,,,
Directors Australia,,,
NTT Australia Pty Ltd – ABN 65 003 371 239,65003371239.0,,extracted_from_name
GTA Pty Ltd T,,,
Intellectual Technology & Communication Pty Ltd – www.itnc.com.au,,,
Collaborative CM Pty Ltd,,,
RCP Australia Pty Ltd,,,
Engage Australia Pty Ltd (“Engage Interactive”) ACN 611 855 219,,611855219.0,extracted_from_name
DAWSONS ENGINEERING (N.Q.) PTY LTD,,,
Knowledge Bridge,,,
Dowells Building Services Pty Ltd,,,
Indigitech,,,
Reload Consulting,,,
Paxus Australia Pty Ltd,,,
G.H. VARLEY PTY LTD,,,
O&M Halyard Australia Pty Ltd,,,
ABN: 84 120 396 965,84120396965.0,,extracted_from_name
Pavilion Health Services Pty Ltd,,,
a Macquarie Government),,,
SixPivot Pty Ltd,,,
LIESSMANN HOLDINGS PTY. LTD.,,,
Strategic Project Partners Trust (t,,,
• Sentry Medical Pty Limited,,,
Beat Architects,,,
ITC Publications,,,
Cantel Australia Pty Ltd,,,
Paxon Consulting Group Pty Ltd,,,
Email:  shaun.brehaut@bigassfans.com.au,,,
Business Aspect Pty Ltd,,,
ALLIANCE ELECTRICAL AND INSTRUMENTATION PTY LTD,,,
CORPDEVEL TECHNOLOGIES PTY LTD,,,
Akva Surgical,,,
Conrade Pty Ltd (t,,,
Ernst & Young,,,
Data#3 Limited - ABN 31010545267,31010545267.0,,extracted_from_name
Ford Health,,,
Vabasis Pty Ltd,,,
Minter Ellison - Gold Coast,,,
• Scyne Advisory Pty Ltd (Previously Price Waterhouse Coopers -PWC),,,
Winc Australia Pty Limited (formerly Staples Australia Pty Limited),,,
NextTech Learning Pty Ltd,,,
Thinkplace,,,
"Carousel Consulting,",,,
Mojo Soup Pty Ltd,,,
Technology One Limited - ABN 84010487180,84010487180.0,,extracted_from_name
Total Ventilation Hygiene Pty Ltd,,,
Freeman Hill Pty Ltd,,,
Office Brands,,,
Cogito Group Pty Ltd,,,
Virid IFC Pty Ltd,,,
Elite Medical Supplies,,,
2M Communications Pty Ltd,,,
Tullius,,,
a Townsville Building Services,,,
Partners in Performance International Pty Ltd,,,
"THEUERKAUF, CHRISTOPHER NEIL",,,
Po Box 430,,,
MinterEllison,,,
Emantra Pty Ltd,,,
Superloop (Operations) Pty Ltd – ABN 21622829510,21622829510.0,,extracted_from_name
TeleMARS Pty Ltd - ABN 69641192841,69641192841.0,,extracted_from_name
Mobile:   0409 546 233,,,
Best Practice Certification Pty Ltd,,,
Decida Digital Pty Ltd,,,
teams,,,
AssetVal,,,
1. Acer Computer Australia Ltd                 Category 1 & 2,,,
Lytton Advisory Pty Ltd,,,
Email:       lisa.forbes@flick.com.au,,,
HR Advantage Consulting Pty Ltd,,,
MJB Solutions Pty Ltd,,,
Cube Group,,,
Viatek Technology Pty Ltd,,,
Draeger Australia,,,
2. 1ICT Pty Ltd;,,,
iseek Pty Ltd – ABN 36094230467,36094230467.0,,extracted_from_name
Telephone: 0400 713 062,,,
Baxter Healthcare P,,,
MOQdigital Pty Ltd (formerly Technology Effect Pty Ltd),,,
IWG INVESTMENTS PTY LTD,,,
ABN: 34 979 036 411,34979036411.0,,extracted_from_name
Publicis Sapient,,,
Sysintegra Pty Ltd,,,
Pier2Pier Consulting,,,
3Columns,,,
E&E IT Solutions Pty Ltd,,,
"Level 1, 145 Eagle Street",,,
Johnstaff Projects (QLD) Pty Ltd,,,
QVC Solutions Pty Ltd,,,
UnitingCare Community,,,
Akela Digital Pty Ltd,,,
Synergy Placements Pty Ltd,,,
Coldshield Northern Pty Ltd,,,
Downs Superior Nursing Agency Pty Ltd,,,
Crazy Might Work Pty Ltd,,,
Cox Architecture Pty Ltd,,,
Aspen Medical Manufacturing,,,
Natan Pty Ltd,,,
The Comms Team,,,
Dale Carnegie Australia (The Trustee for Farmer Family Trust),,,
CS Energy Ltd,,,
RPS APP Consulting,,,
IntegrationWorks Australia Limited Partnership,,,
MARK MILBOURNE CONSTRUCTIONS PTY LTD,,,
PeopleBench Pty Ltd,,,
a Assurity Australia),,,
Driving Management Australia,,,
8 Commercial Place,,,
D.N.E. PTY LTD,,,
Email: sbox@boxandco.com.au,,,
Bidfood,,,
as Message Media ABN: 16 095 453 062,16095453062.0,,extracted_from_name
Stellar Recruitment Pty Ltd,,,
S360 Pty Limited t,,,
Box & Co Pty Ltd,,,
SUEZ Recycling and Recovery Pty Ltd,,,
a Leonardo Consulting),,,
Empire Careers QLD Partnership,,,
Flarepoint Pty Ltd,,,
Insite Communications Pty Ltd,,,
MBMpl (MBM),,,
Qantas Airlink,,,
The Citadel Group Limited,,,
• Skoda,,,
• Fairmont Medical,,,
Axiar Pty Ltd,,,
Easyweb Digital Pty Ltd,,,
TLM Solutions Pty Ltd (ABN 12 107 568 203).,12107568203.0,,extracted_from_name
Australia Post & (StarTrack),,,
Rubicon Red Pty Ltd,,,
Nanoputian.io Pty Ltd,,,
Info-Tech Research Group Pty Ltd - ABN 86631171581,86631171581.0,,extracted_from_name
RSM Australia,,,
Arup Australia Pty Ltd,,,
"HEAD, TREVOR JASON",,,
CybsecIT Pty Ltd,,,
107 Miles Platting Rd Eight Mile Plains QLD 4113 Contact Vicky Tsiamas Title Business Development Manager Phone (03) 9500 9968 Mobile 0448 887 162 Email Vicky.Tsiamas@injurynet.com.au,,,
MCP Australia Pty Ltd (MCP Health),,,
KNAPP CONSTRUCTIONS PTY LTD,,,
Norton Rose Fulbright,,,
Kytec Pty Ltd,,,
NEWSTEAD  QLD  4006,,,
Rizon Group Pty Ltd t,,,
Skillfield Pty Ltd,,,
"Complete Business Solutions (QLD) Pty Ltd,",,,
Oscorp Engineering Pty Ltd,,,
Commstott Pty Ltd (t,,,
mobiletyreshop.com.au,,,
Queensland Rural and Industry Development Authority (QRIDA),,,
Total Infrastructure Solutions Pty Ltd,,,
ABN: 49122898100,49122898100.0,,extracted_from_name
Contact:  Aaron Donegan,,,
KOM Consulting Pty Ltd,,,
